report_year,company_code,company_name,issue_name,avg_verifiability_score,record_count
2023,600036,招商银行,消费者权益保护,5.0,1
2023,600036,招商银行,绿色信贷/绿色金融,5.0,1
2023,600908,无锡银行,公司治理/风险管理,3.0,3
2023,600908,无锡银行,员工权益,3.0,1
2023,600908,无锡银行,普惠金融,3.0,1
2023,600908,无锡银行,消费者权益保护,3.0,1
2023,600908,无锡银行,绿色信贷/绿色金融,3.0,1
2023,600919,江苏银行,公司治理/风险管理,4.0,3
2023,600919,江苏银行,员工权益,4.0,1
2023,600919,江苏银行,普惠金融,4.0,1
2023,600919,江苏银行,消费者权益保护,4.0,1
2023,600919,江苏银行,绿色信贷/绿色金融,4.0,1
2023,600926,杭州银行,公司治理/风险管理,2.0,3
2023,600926,杭州银行,员工权益,2.0,1
2023,600926,杭州银行,普惠金融,2.0,1
2023,600926,杭州银行,消费者权益保护,2.0,1
2023,600926,杭州银行,绿色信贷/绿色金融,2.0,1
2023,600928,西安银行,公司治理/风险管理,3.0,3
2023,600928,西安银行,员工权益,3.0,1
2023,600928,西安银行,普惠金融,3.0,1
2023,600928,西安银行,消费者权益保护,3.0,1
2023,600928,西安银行,绿色信贷/绿色金融,3.0,1
2023,601009,南京银行,公司治理/风险管理,3.0,3
2023,601009,南京银行,员工权益,3.0,1
2023,601009,南京银行,普惠金融,3.0,1
2023,601009,南京银行,消费者权益保护,3.0,1
2023,601009,南京银行,绿色信贷/绿色金融,3.0,1
2023,601077,重庆农村商业银行,公司治理/风险管理,4.0,3
2023,601077,重庆农村商业银行,员工权益,4.0,1
2023,601077,重庆农村商业银行,普惠金融,4.0,1
2023,601077,重庆农村商业银行,消费者权益保护,4.0,1
2023,601077,重庆农村商业银行,绿色信贷/绿色金融,4.0,1
2023,601128,常熟银行,绿色信贷/绿色金融,1.0,2
2023,601166,兴业银行,公司治理/风险管理,5.0,3
2023,601166,兴业银行,员工权益,5.0,1
2023,601166,兴业银行,普惠金融,5.0,1
2023,601166,兴业银行,消费者权益保护,5.0,1
2023,601166,兴业银行,绿色信贷/绿色金融,5.0,1
2023,601169,北京银行,公司治理/风险管理,4.0,3
2023,601169,北京银行,员工权益,4.0,1
2023,601169,北京银行,普惠金融,4.0,1
2023,601169,北京银行,消费者权益保护,4.0,1
2023,601169,北京银行,绿色信贷/绿色金融,4.0,1
2023,601187,厦门银行,公司治理/风险管理,4.0,3
2023,601187,厦门银行,员工权益,4.0,1
2023,601187,厦门银行,普惠金融,4.0,1
2023,601187,厦门银行,消费者权益保护,4.0,1
2023,601187,厦门银行,绿色信贷/绿色金融,4.0,1
2023,601229,上海银行,公司治理/风险管理,4.0,3
2023,601229,上海银行,员工权益,4.0,1
2023,601229,上海银行,普惠金融,4.0,1
2023,601229,上海银行,消费者权益保护,4.0,1
2023,601229,上海银行,绿色信贷/绿色金融,4.0,1
2023,601288,农业银行,公司治理/风险管理,3.0,3
2023,601288,农业银行,员工权益,3.0,1
2023,601288,农业银行,普惠金融,3.0,1
2023,601288,农业银行,消费者权益保护,3.0,1
2023,601288,农业银行,绿色信贷/绿色金融,3.0,1
2023,601328,交通银行,公司治理/风险管理,4.0,3
2023,601328,交通银行,员工权益,4.0,1
2023,601328,交通银行,普惠金融,4.0,1
2023,601328,交通银行,消费者权益保护,4.0,1
2023,601328,交通银行,绿色信贷/绿色金融,4.0,1
2023,601398,工商银行,公司治理/风险管理,4.0,3
2023,601398,工商银行,员工权益,4.0,1
2023,601398,工商银行,普惠金融,4.0,1
2023,601398,工商银行,消费者权益保护,4.0,1
2023,601398,工商银行,绿色信贷/绿色金融,4.0,1
2023,601528,瑞丰银行,公司治理/风险管理,3.0,3
2023,601528,瑞丰银行,员工权益,3.0,1
2023,601528,瑞丰银行,普惠金融,3.0,1
2023,601528,瑞丰银行,消费者权益保护,3.0,1
2023,601528,瑞丰银行,绿色信贷/绿色金融,3.0,1
2023,601577,长沙银行,公司治理/风险管理,3.0,3
2023,601577,长沙银行,员工权益,3.0,1
2023,601577,长沙银行,普惠金融,3.0,1
2023,601577,长沙银行,消费者权益保护,3.0,1
2023,601577,长沙银行,绿色信贷/绿色金融,3.0,1
2023,601658,邮储银行,公司治理/风险管理,4.0,3
2023,601658,邮储银行,员工权益,4.0,1
2023,601658,邮储银行,普惠金融,4.0,1
2023,601658,邮储银行,消费者权益保护,4.0,1
2023,601658,邮储银行,绿色信贷/绿色金融,4.0,1
2023,601665,齐鲁银行,公司治理/风险管理,3.0,3
2023,601665,齐鲁银行,员工权益,3.0,1
2023,601665,齐鲁银行,普惠金融,3.0,1
2023,601665,齐鲁银行,消费者权益保护,3.0,1
2023,601665,齐鲁银行,绿色信贷/绿色金融,3.0,1
2023,601818,光大银行,公司治理/风险管理,4.0,3
2023,601818,光大银行,员工权益,4.0,1
2023,601818,光大银行,普惠金融,4.0,1
2023,601818,光大银行,消费者权益保护,4.0,1
2023,601818,光大银行,绿色信贷/绿色金融,4.0,1
2023,601825,农业银行,公司治理/风险管理,3.0,3
2023,601825,农业银行,员工权益,3.0,1
2023,601825,农业银行,普惠金融,3.0,1
2023,601825,农业银行,消费者权益保护,3.0,1
2023,601825,农业银行,绿色信贷/绿色金融,3.0,1
2023,601838,成都银行,公司治理/风险管理,3.0,3
2023,601838,成都银行,员工权益,3.0,1
2023,601838,成都银行,普惠金融,3.0,1
2023,601838,成都银行,消费者权益保护,3.0,1
2023,601838,成都银行,绿色信贷/绿色金融,3.0,1
2023,601860,长沙银行,公司治理/风险管理,5.0,3
2023,601860,长沙银行,员工权益,5.0,1
2023,601860,长沙银行,普惠金融,5.0,1
2023,601860,长沙银行,消费者权益保护,5.0,1
2023,601860,长沙银行,绿色信贷/绿色金融,5.0,1
2023,601916,浙商银行,公司治理/风险管理,3.0,3
2023,601916,浙商银行,员工权益,3.0,1
2023,601916,浙商银行,普惠金融,3.0,1
2023,601916,浙商银行,消费者权益保护,3.0,1
2023,601916,浙商银行,绿色信贷/绿色金融,3.0,1
2023,601939,建设银行,公司治理/风险管理,5.0,3
2023,601939,建设银行,员工权益,5.0,1
2023,601939,建设银行,普惠金融,5.0,1
2023,601939,建设银行,消费者权益保护,5.0,1
2023,601939,建设银行,绿色信贷/绿色金融,5.0,1
2023,601963,重庆银行,公司治理/风险管理,3.0,2
2023,601963,重庆银行,员工权益,3.0,1
2023,601963,重庆银行,消费者权益保护,3.0,1
2023,601963,重庆银行,绿色信贷/绿色金融,3.0,1
2023,601988,中国银行,公司治理/风险管理,4.0,3
2023,601988,中国银行,员工权益,4.0,1
2023,601988,中国银行,普惠金融,4.0,1
