stock_code,stock_name,announcement_title,publish_date,pdf_url,source,error_message
600000,浦发银行,上海浦东<em>发展</em>银行股份有限公司2024年度<em>可持续</em><em>发展</em><em>报告</em>,2025-03-29,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600000&announcementId=1222948224&orgId=gssh0600000&announcementTime=2025-03-29,akshare_cninfo,
601818,光大银行,中国光大银行股份有限公司2021年度<em>社会</em><em>责任</em><em>报告</em>,2022-03-26,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601818&announcementId=1212687499&orgId=9900006246&announcementTime=2022-03-26,akshare_cninfo,
601818,光大银行,中国光大银行股份有限公司2022年度<em>社会</em><em>责任</em>（环境、<em>社会</em>及治理）<em>报告</em>,2023-03-25,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601818&announcementId=1216221039&orgId=9900006246&announcementTime=2023-03-25,akshare_cninfo,
601818,光大银行,中国光大银行股份有限公司2023年度<em>社会</em><em>责任</em>（环境、<em>社会</em>及治理）<em>报告</em>,2024-03-28,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601818&announcementId=1219427336&orgId=9900006246&announcementTime=2024-03-28,akshare_cninfo,
601818,光大银行,中国光大银行股份有限公司2024年度<em>社会</em><em>责任</em>（环境、<em>社会</em>及治理）<em>报告</em>,2025-03-29,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601818&announcementId=1222947755&orgId=9900006246&announcementTime=2025-03-29,akshare_cninfo,
601818,光大银行,中国光大银行股份有限公司2025年度<em>可持续</em><em>发展</em><em>报告</em>,2026-03-31,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601818&announcementId=1225061518&orgId=9900006246&announcementTime=2026-03-31,akshare_cninfo,
600016,民生银行,中国民生银行2021年度<em>社会</em><em>责任</em><em>报告</em>,2022-03-30,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600016&announcementId=1212728495&orgId=gssh0600016&announcementTime=2022-03-30,akshare_cninfo,
600016,民生银行,中国民生银行2022年度<em>社会</em><em>责任</em><em>报告</em>,2023-03-28,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600016&announcementId=1216238252&orgId=gssh0600016&announcementTime=2023-03-28,akshare_cninfo,
600016,民生银行,中国民生银行2023年度<em>社会</em><em>责任</em><em>报告</em>,2024-03-29,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600016&announcementId=1219445427&orgId=gssh0600016&announcementTime=2024-03-29,akshare_cninfo,
600016,民生银行,中国民生银行2024年度<em>社会</em><em>责任</em><em>报告</em>,2025-03-29,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600016&announcementId=1222951343&orgId=gssh0600016&announcementTime=2025-03-29,akshare_cninfo,
600016,民生银行,中国民生银行2025年度<em>社会</em><em>责任</em><em>报告</em>,2026-03-31,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600016&announcementId=1225062833&orgId=gssh0600016&announcementTime=2026-03-31,akshare_cninfo,
600016,民生银行,中国民生银行2021年度<em>ESG</em><em>报告</em>,2022-03-30,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600016&announcementId=1212728499&orgId=gssh0600016&announcementTime=2022-03-30,akshare_cninfo,
600016,民生银行,中国民生银行2022年度环境、社会、治理（<em>ESG</em>）<em>报告</em>,2023-03-28,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600016&announcementId=1216238247&orgId=gssh0600016&announcementTime=2023-03-28,akshare_cninfo,
600016,民生银行,中国民生银行2023年度环境、社会及管治（<em>ESG</em>）<em>报告</em>,2024-03-29,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600016&announcementId=1219445432&orgId=gssh0600016&announcementTime=2024-03-29,akshare_cninfo,
600016,民生银行,中国民生银行2024年度环境、社会及治理（<em>ESG</em>）<em>报告</em>,2025-03-29,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600016&announcementId=1222951338&orgId=gssh0600016&announcementTime=2025-03-29,akshare_cninfo,
600016,民生银行,中国民生银行2025年度可持续发展（<em>ESG</em>）<em>报告</em>,2026-03-31,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600016&announcementId=1225062836&orgId=gssh0600016&announcementTime=2026-03-31,akshare_cninfo,
600015,华夏银行,华夏银行2021<em>社会</em><em>责任</em><em>报告</em>（英文版）,2022-04-30,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600015&announcementId=1213267945&orgId=gssh0600015&announcementTime=2022-04-30,akshare_cninfo,
600015,华夏银行,华夏银行2022年<em>社会</em><em>责任</em><em>报告</em>,2023-04-28,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600015&announcementId=1216660905&orgId=gssh0600015&announcementTime=2023-04-28,akshare_cninfo,
600015,华夏银行,华夏银行2023年<em>社会</em><em>责任</em><em>报告</em>,2024-04-30,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600015&announcementId=1219904606&orgId=gssh0600015&announcementTime=2024-04-30,akshare_cninfo,
600015,华夏银行,华夏银行2024年<em>社会</em><em>责任</em><em>报告</em>（英文版）,2025-04-18,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600015&announcementId=1223129821&orgId=gssh0600015&announcementTime=2025-04-18,akshare_cninfo,
600015,华夏银行,华夏银行2025年度<em>可持续</em><em>发展</em><em>报告</em>,2026-03-31,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600015&announcementId=1225058304&orgId=gssh0600015&announcementTime=2026-03-31,akshare_cninfo,
601916,浙商银行,浙商银行股份有限公司2021年<em>社会</em><em>责任</em><em>报告</em>,2022-03-30,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601916&announcementId=1212729910&orgId=9900007207&announcementTime=2022-03-30,akshare_cninfo,
601916,浙商银行,浙商银行股份有限公司2022年<em>社会</em><em>责任</em><em>报告</em>,2023-03-28,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601916&announcementId=1216234455&orgId=9900007207&announcementTime=2023-03-28,akshare_cninfo,
601916,浙商银行,浙商银行股份有限公司2023年<em>社会</em><em>责任</em><em>报告</em>,2024-03-29,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601916&announcementId=1219447647&orgId=9900007207&announcementTime=2024-03-29,akshare_cninfo,
601916,浙商银行,浙商银行股份有限公司2024年<em>可持续</em><em>发展</em><em>报告</em>,2025-03-29,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601916&announcementId=1222947800&orgId=9900007207&announcementTime=2025-03-29,akshare_cninfo,
601916,浙商银行,浙商银行股份有限公司2025年<em>可持续</em><em>发展</em><em>报告</em>,2026-03-31,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601916&announcementId=1225060844&orgId=9900007207&announcementTime=2026-03-31,akshare_cninfo,
002142,宁波银行,2021年<em>社会</em><em>责任</em><em>报告</em>,2022-04-08,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002142&announcementId=1212837562&orgId=9900003281&announcementTime=2022-04-08,akshare_cninfo,
002142,宁波银行,2022年<em>社会</em><em>责任</em><em>报告</em>,2023-04-06,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002142&announcementId=1216331264&orgId=9900003281&announcementTime=2023-04-06,akshare_cninfo,
002142,宁波银行,2023年<em>社会</em><em>责任</em><em>报告</em>,2024-04-10,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002142&announcementId=1219551828&orgId=9900003281&announcementTime=2024-04-10,akshare_cninfo,
002142,宁波银行,宁波银行股份有限公司2024年度<em>可持续</em><em>发展</em>（ESG）<em>报告</em>,2025-04-10,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002142&announcementId=1223045161&orgId=9900003281&announcementTime=2025-04-10,akshare_cninfo,
002142,宁波银行,宁波银行股份有限公司2025年度<em>可持续</em><em>发展</em>（ESG）<em>报告</em>,2026-04-25,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002142&announcementId=1225189445&orgId=9900003281&announcementTime=2026-04-25,akshare_cninfo,
600919,江苏银行,江苏银行2021年度<em>社会</em><em>责任</em><em>报告</em>暨ESG<em>报告</em>,2022-04-13,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600919&announcementId=1212897906&orgId=9900006248&announcementTime=2022-04-13,akshare_cninfo,
600919,江苏银行,江苏银行2022年度ESG暨<em>社会</em><em>责任</em><em>报告</em>,2023-04-26,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600919&announcementId=1216586596&orgId=9900006248&announcementTime=2023-04-26,akshare_cninfo,
600919,江苏银行,江苏银行2023年ESG暨<em>社会</em><em>责任</em><em>报告</em>,2024-04-26,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600919&announcementId=1219833470&orgId=9900006248&announcementTime=2024-04-26,akshare_cninfo,
600919,江苏银行,江苏银行2024年ESG（环境、<em>社会</em>及治理）暨<em>社会</em><em>责任</em><em>报告</em>,2025-04-19,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600919&announcementId=1223143261&orgId=9900006248&announcementTime=2025-04-19,akshare_cninfo,
601229,上海银行,上海银行2021年度<em>社会</em><em>责任</em><em>报告</em>,2022-04-22,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601229&announcementId=1213030160&orgId=9900010207&announcementTime=2022-04-22,akshare_cninfo,
601229,上海银行,上海银行2022年度<em>社会</em><em>责任</em><em>报告</em>,2023-04-28,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601229&announcementId=1216664772&orgId=9900010207&announcementTime=2023-04-28,akshare_cninfo,
601229,上海银行,上海银行2023年度<em>社会</em><em>责任</em>（ESG）<em>报告</em>,2024-04-26,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601229&announcementId=1219842057&orgId=9900010207&announcementTime=2024-04-26,akshare_cninfo,
601229,上海银行,上海银行2024年度<em>社会</em><em>责任</em>（ESG）<em>报告</em>,2025-04-25,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601229&announcementId=1223286933&orgId=9900010207&announcementTime=2025-04-25,akshare_cninfo,
600926,杭州银行,杭州银行2021年度<em>社会</em><em>责任</em><em>报告</em>,2022-04-16,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600926&announcementId=1212942447&orgId=9900006251&announcementTime=2022-04-16,akshare_cninfo,
